Start Date,End Date,StartPrice,EndPrice,ATR normalized mean,Mean Price,Mean Volatility,ER mean,Min Price,Max Price
2017-01-01,2017-12-31,"Ticker
BTC-USD    998.325012
Name: 2017-01-01 00:00:00+00:00, dtype: float64","Ticker
BTC-USD    14156.400391
Name: 2017-12-31 00:00:00+00:00, dtype: float64",0.05757572117456334,"Ticker
BTC-USD    4006.033629
dtype: float64",0.06440869015642402,332.9796528855415,777.7570190429688,19497.400390625
2018-01-01,2018-12-31,"Ticker
BTC-USD    13657.200195
Name: 2018-01-01 00:00:00+00:00, dtype: float64","Ticker
BTC-USD    3742.700439
Name: 2018-12-31 00:00:00+00:00, dtype: float64",0.05756278208059352,"Ticker
BTC-USD    7572.298947
dtype: float64",0.05398126153975174,437.23103060787673,3236.76171875,17527.0
2019-01-01,2020-10-01,"Ticker
BTC-USD    3843.52002
Name: 2019-01-01 00:00:00+00:00, dtype: float64","Ticker
BTC-USD    10619.452148
Name: 2020-10-01 00:00:00+00:00, dtype: float64",0.03991064160778297,"Ticker
BTC-USD    8170.519422
dtype: float64",0.040341372514539,336.5076713562012,3399.4716796875,13016.2314453125
2020-10-01,2021-04-01,"Ticker
BTC-USD    10619.452148
Name: 2020-10-01 00:00:00+00:00, dtype: float64","Ticker
BTC-USD    59095.808594
Name: 2021-04-01 00:00:00+00:00, dtype: float64",0.05611285071897151,"Ticker
BTC-USD    31079.682484
dtype: float64",0.061014417077683035,2091.2679783555327,10549.3291015625,61243.0859375
2021-04-01,2021-07-01,"Ticker
BTC-USD    59095.808594
Name: 2021-04-01 00:00:00+00:00, dtype: float64","Ticker
BTC-USD    33572.117188
Name: 2021-07-01 00:00:00+00:00, dtype: float64",0.08333025415638061,"Ticker
BTC-USD    46357.285284
dtype: float64",0.07667380940505393,3335.570567255435,31637.779296875,63503.45703125
2021-07-01,2021-10-01,"Ticker
BTC-USD    33572.117188
Name: 2021-07-01 00:00:00+00:00, dtype: float64","Ticker
BTC-USD    48116.941406
Name: 2021-10-01 00:00:00+00:00, dtype: float64",0.04847383698927687,"Ticker
BTC-USD    42054.666415
dtype: float64",0.0518179293394923,2175.482358870968,29807.34765625,52633.53515625
2021-10-01,2022-06-01,"Ticker
BTC-USD    48116.941406
Name: 2021-10-01 00:00:00+00:00, dtype: float64","Ticker
BTC-USD    29799.080078
Name: 2022-06-01 00:00:00+00:00, dtype: float64",0.048344269614605376,"Ticker
BTC-USD    45547.954494
dtype: float64",0.04721999997196101,2130.2981077100408,28627.57421875,67566.828125
2022-06-01,2023-10-01,"Ticker
BTC-USD    29799.080078
Name: 2022-06-01 00:00:00+00:00, dtype: float64","Ticker
BTC-USD    27983.75
Name: 2023-10-01 00:00:00+00:00, dtype: float64",0.0342471711717053,"Ticker
BTC-USD    23712.63244
dtype: float64",0.03369497661374672,790.8349649398053,15787.2841796875,31476.048828125
2023-10-01,2024-03-01,"Ticker
BTC-USD    27983.75
Name: 2023-10-01 00:00:00+00:00, dtype: float64","Ticker
BTC-USD    62440.632812
Name: 2024-03-01 00:00:00+00:00, dtype: float64",0.032331896465490964,"Ticker
BTC-USD    40383.00697
dtype: float64",0.03430472232330855,1419.3474520016339,26756.798828125,62504.7890625
2024-03-01,2024-10-01,"Ticker
BTC-USD    62440.632812
Name: 2024-03-01 00:00:00+00:00, dtype: float64","Ticker
BTC-USD    60837.007812
Name: 2024-10-01 00:00:00+00:00, dtype: float64",0.04281316389481499,"Ticker
BTC-USD    63960.824455
dtype: float64",0.042221588823698225,2685.430832122093,53948.75390625,73083.5
